.\datasets\images\10010052.jpg| A girl is on rollerskates talking on her cellphone standing in a parking lot .,,,,,,,,,| A trendy girl talking on her cellphone while gliding slowly down the street .,,,,,,,,,| A young adult wearing rollerblades , holding a cellular phone to her ear .,,,,,,,,| there is a young girl on her cellphone while skating .,,,,,,,,,| Woman talking on cellphone and wearing rollerskates .,,,,,,,,,
.\datasets\images\101654506.jpg| The white and brown dog is running over the surface of the snow .,,,,,,,,,| a white and brown dog is running through a snow covered field .,,,,,,,,,| A brown and white dog is running through the snow .,,,,,,,,,| A dog running through snow .,,,,,,,,,| A dog is running in the snow,,,,,,,,,
.\datasets\images\1017675163.jpg| A young gymnast , jumps high in the air , while performing on a balance beam .,,,,,,,| A woman wearing an orange leotard doing gymnastics in front of an audience .,,,,,,,,,| A gymnast performing on the balance beam in front of an audience .,,,,,,,,,| The young gymnast 's supple body soars above the balance beam .,,,,,,,,,| A gymnast is performing on the balance beam .,,,,,,,,,
.\datasets\images\1020651753.jpg| A white dog is trying to catch a ball in midair over a grassy field .,,,,,,,,,| The white dog is playing in a green field with a yellow toy .,,,,,,,,,| a black and white dog jumping in the air to get a toy .,,,,,,,,,| A black and white dog jumps up towards a yellow toy .,,,,,,,,,| A dog leaps to catch a ball in a field .,,,,,,,,,
.\datasets\images\1021442086.jpg| A bearded man wearing glasses , a red shirt , and a hat is reading a map while sitting in a car .,,,,,,,| A bearded traveler in a red shirt sitting in a car and reading a map .,,,,,,,,,| A man wearing a baseball cap is sitting in a car looking at a map .,,,,,,,,,| a man in a red t-shirt is sitting in a car looking at a map .,,,,,,,,,| A man trying to decipher a map .,,,,,,,,,
.\datasets\images\1022454428.jpg| A couple and an infant , being held by the male , sitting next to a pond with a nearby stroller .,,,,,,,| A man and woman care for an infant along the side of a body of water .,,,,,,,,,| A couple with their newborn baby sitting under a tree facing a lake .,,,,,,,,,| Couple with a baby sit outdoors next to their stroller .,,,,,,,,,| A couple sit on the grass with a baby and stroller .,,,,,,,,,
.\datasets\images\102268204.jpg| Three men are standing at night near a black car near a shelter filled with bicycles .,,,,,,,,,| Some men standing in front of a building next to a parked car .,,,,,,,,,| There are a lot of bikes parked under the curved roof tonight .,,,,,,,,,| police questioning the driver of a black wagon at nighttime .,,,,,,,,,| Men under a dome beside a black station wagon .,,,,,,,,,
.\datasets\images\1024613706.jpg| Two young men and a young lady walk through a field near the water .,,,,,,,,,| Three people walking through a beautiful meadow towards the ocean .,,,,,,,,,| Two men and a woman are walking through a field .,,,,,,,,,| Two males and one female walking on a path .,,,,,,,,,| Three people walking on a path in a meadow .,,,,,,,,,
.\datasets\images\102575576.jpg| A couple in their wedding attire stand behind a table with a wedding cake and flowers .,,,,,,,,,| A bride and groom are standing in front of their wedding cake at their reception .,,,,,,,,,| A bride and groom smile as they view their wedding cake at the reception .,,,,,,,,,| A couple stands behind their wedding cake .,,,,,,,,,| Man and woman cutting wedding cake .,,,,,,,,,
.\datasets\images\1027211271.jpg| A young woman with short blond-hair wearing jeans and a striped long-sleeved sweater jumping in midair on a skateboard with trees in the background .,,,,,,,,,| A young man is in midair while skateboarding at a skate park with people watching him in the background .,,,,,,,,,| This person is performing a trick in skateboarding competition , with people watching in the background .,,,,,,,,| A boy jumps on his skateboard while a crowd watches,,,,,,,,,| Someone skateboarding at a skate park .,,,,,,,,,
.\datasets\images\1028205764.jpg| A man and a little boy in blue life jackets are rowing a yellow canoe .,,,,,,,,,| A man and a baby are in a yellow kayak on water .,,,,,,,,,| A man and child kayak through gentle waters .,,,,,,,,,| A man and young boy ride in a yellow kayak .,,,,,,,,,| Man and child in yellow kayak,,,,,,,,,
.\datasets\images\1028982826.jpg| Two men , one younger guy with a yellow shirt that has luggage and the other and older guy , are sitting on a bench in front of a large building that has a billboard for glasses and sunglasses .,,,,,,,| A man in a yellow shirt , with a tall gray suitcase , sitting next to another man in a white shirt and gray pants , behind them a tall billboard for sunglasses and prescription glasses .,,,,,,| Two men sitting on a bench talking , with a billboard advertisement for glasses in the background .,,,,,,,,| Two men sitting on a bench in front of a sign with a picture of man and a lady .,,,,,,,,,| 2 men are sitting at a bench outside the airport in front of a billboard .,,,,,,,,,
.\datasets\images\1029802110.jpg| During a gay pride parade in an Asian city , some people hold up rainbow flags to show support .,,,,,,,,| A group of youths march down the street waving flags showing the color spectrum .,,,,,,,,,| Oriental people with rainbow flags walking down a city street .,,,,,,,,,| A group of people walk down the street waving rainbow flags .,,,,,,,,,| People are outside waving flags .,,,,,,,,,
.\datasets\images\103195344.jpg| The man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .,,,,,,,,,| A man in black is sitting next to a modern art structure in front of a glass building .,,,,,,,,,| A man sits and reads a newspaper by a sculpture outside of an office building .,,,,,,,,,| A man sitting in front of a metal sculpture in front of a building .,,,,,,,,,| a man sits near a large statue .,,,,,,,,,
.\datasets\images\1032122270.jpg| Three dogs are standing in the grass and a person is sitting next to them,,,,,,,,,| Three dogs stand in a grassy field while a person kneels nearby .,,,,,,,,,| Three dogs are playing on grassy hill with a blue sky .,,,,,,,,,| A woman crouches near three dogs in a field .,,,,,,,,,| Three dogs on a grassy hill,,,,,,,,,
.\datasets\images\103631543.jpg| A Caucasian young woman in a white hooded sweatshirt sits at a table set for two in a lowly lit restaurant .,,,,,,,,,| A woman in a white shirt is sitting at a table in a nice restaurant .,,,,,,,,,| A young woman sits at a dinner table with two entrees and a martini .,,,,,,,,,| A dark-haired young woman hesitates before dining .,,,,,,,,,| Woman having a fancy dinner .,,,,,,,,,
.\datasets\images\1039637574.jpg| A bride in a light pink dress poses for a picture with male relatives and is being photographed by a man in a cream shirt with white pants .,,,,,,,,,| A man in light colored clothing photographs a group of men wearing dark suits and hats standing around a woman dressed in a strapless gown .,,,,,,,,,| A photographer takes a picture of a group of one girl in a pink dress and 10 boys in suits and hats .,,,,,,,,,| A man photographs a woman in a pink dress and a throng of men in suits .,,,,,,,,,| Man taking a photograph of a well dressed group of teens .,,,,,,,,,
.\datasets\images\104285082.jpg| A man with glasses is sitting a chair playing the oboe while a man in a purple shirt plays percussion and spectators look on .,,,,,,,,,| An older man with gray hair is sitting in a chair playing a large instrument made of bamboo .,,,,,,,,,| Gray-haired man in dress shirt plays the bassoon while reading sheet music from a stand,,,,,,,,,| A gray-haired man sitting in a chair playing a wind instrument among other musicians .,,,,,,,,,| A man playing a musical instrument .,,,,,,,,,
.\datasets\images\1045521051.jpg| A young man sits on the floor by the television with a fast food meal in front of him .,,,,,,,,,| A person sits on the floor and eats in front of a television .,,,,,,,,,| A person eats takeout while watching a small television .,,,,,,,,,| Someone is laying in front of the TV eating food .,,,,,,,,,| A television with a picture of a girl on it .,,,,,,,,,
.\datasets\images\104763189.jpg| A shirtless young boy on a bicycle too big for him being supported by 3 other young shirtless boys in a grass field .,,,,,,,,,| Four children are smiling as they pose together with a bicycle that is much too big for them .,,,,,,,,,| An African American child is supported by his three peers while riding his bicycle .,,,,,,,,,| Four children are smiling and playing on a bike,,,,,,,,,| Boys all outside around a big bike .,,,,,,,,,
.\datasets\images\104824673.jpg| An African individual is looking into the camera while dressed in varying beads and decorations that have a cultural relevance .,,,,,,,,,| An African native gazes into the camera donning a hat of two corn cobs and necklaces of shells and beads .,,,,,,,,,| A member of an African tribe is watching the camera intently in tribal dress .,,,,,,,,,| An African woman with piercings , lots of necklaces and corn on her head .,,,,,,,,| A person is wearing a lot of jewelry with corn on his or her head .,,,,,,,,,
.\datasets\images\1051290485.jpg| Two separate women , one wearing a white top and black pants , the other wearing all black and a pair of pink flip-flops , kneel on a gray brick sidewalk path in front of green and red bushes .,,,,,,| Two women squatting on the sidewalk looking at plants , one in black shirt , shorts and pink sandals , the other in a white shirt , black shorts talking on a cellphone .,,,,,| A little girl is looking at some plants while another is on the phone in the background .,,,,,,,,,| Two girls crouch in front of some bushes and talk on their phones .,,,,,,,,,| Two girls crouch in front of a garden of small shrubbery .,,,,,,,,,
.\datasets\images\1053116826.jpg| Two little children , one boy and one girl , laugh as they sit on the grass .,,,,,,,| A little boy and a girl sitting down in the grass having fun .,,,,,,,,,| A young boy and a young girl sitting in the grass laughing .,,,,,,,,,| Two children smiling and sitting on grass .,,,,,,,,,| Two kids are laughing in the grass .,,,,,,,,,
.\datasets\images\1053243591.jpg| Young woman holding a bottle , reaching out from a bench to shake a man 's hand .,,,,,,,,| A man shaking the hand of a woman in an orange shirt sitting on a bench .,,,,,,,,,| A man shaking the hand of a teenager sitting on a bench .,,,,,,,,,| A woman having a drink is shaking hands with someone .,,,,,,,,,| A young girl in a orange shirt shaking a hand .,,,,,,,,,
.\datasets\images\1054620089.jpg| A woman in jeans and a red coat and carrying a multicolored handbag spreads put her arms while leaping up from a cobblestone street .,,,,,,,,,| A lady in a red coat , holding a bluish hand bag likely of asian descent , jumping off the ground for a snapshot .,,,,,,,| A woman in a red jacket , with a blue and gold handbag is jumping while smiling on a cobblestone street .,,,,,,,,| A woman wearing a red coat is jumping outdoors .,,,,,,,,,| Girl in red jumping for joy .,,,,,,,,,
.\datasets\images\1055753357.jpg| Two construction workers are sitting up on the side of a building .,,,,,,,,,| Two constructions workers sit on a beam taking a break .,,,,,,,,,| Two construction workers take a seat on a steel beam .,,,,,,,,,| Two construction workers sitting on an I-beam .,,,,,,,,,| Two men take a break from construction .,,,,,,,,,
.\datasets\images\1056198351.jpg| A smiling little boy holds a hand mixer in a bowl .,,,,,,,,,| Young boy with blond-hair playing with a mixer .,,,,,,,,,| A child has fun with a blender in the kitchen .,,,,,,,,,| A child using an electric mixer in a bowl .,,,,,,,,,| A child happily mixing batter in a bowl .,,,,,,,,,
.\datasets\images\1056249424.jpg| Two boys , one with a yellow and orange ball , play in some water in front of a field .,,,,,,,| Two children play with a balloon in mud on a sunny day .,,,,,,,,,| Two kids are running and playing in some water .,,,,,,,,,| The children are playing in the water .,,,,,,,,,| Two boys play in a puddle .,,,,,,,,,
.\datasets\images\1056359656.jpg| A young girl sits on a seat and looks at a train pamphlet .,,,,,,,,,| A young girl on a train reads a book about train rides .,,,,,,,,,| A little girl looking at a brochure on train rides,,,,,,,,,| Child sitting down looking at train ride brochure,,,,,,,,,| a young blond girl with a magizine in her hands,,,,,,,,,
.\datasets\images\106027774.jpg| It looks as though a soldier is sleeping in a car on his way home after a deployment .,,,,,,,,,| A young man asleep during a car ride wearing his seat belt .,,,,,,,,,| a boy in a beige shirt is sleeping in a car .,,,,,,,,,| A man asleep in a car that 's driving .,,,,,,,,,| A boy sleeps on a car ride .,,,,,,,,,
.\datasets\images\106039369.jpg| One man wearing a white shirt is flipping a pancake by flinging it into the air .,,,,,,,,,| Man is flipping an omelet or pancake in the air , while in his kitchen .,,,,,,,,| A man in a home kitchen is flipping a pancake extremely high .,,,,,,,,,| A guy flipping a pancake high into the air from a skillet .,,,,,,,,,| Man flipping pancake in kitchen while looking in awe .,,,,,,,,,
.\datasets\images\1061887159.jpg| A man is kneeling down with a child on a beach where bright blue and red boats are stationed in the background .,,,,,,,,,| a beach with blue and red boats , with people on shore,,,,,,,,| People are doing various activities on the beach .,,,,,,,,,| people at beach looking for things in sand,,,,,,,,,| Many people walking on beach .,,,,,,,,,
.\datasets\images\1063866640.jpg| Four men are sitting near a tree talking while another stands looking at a body of water and another is rowing a boat .,,,,,,,,,| Several men are sitting by a river conversing with one another while a boat drifts by them .,,,,,,,,,| Five people sitting in front of a body of water with the sun behind them .,,,,,,,,,| A group of shirtless men are sitting in the shade on a tropical beach .,,,,,,,,,| Five men sitting with a body of water behind them .,,,,,,,,,
.\datasets\images\106490881.jpg| A young boy in swimming trunks is walking with his arms outstretched on the beach .,,,,,,,,,| The boy is playing on the shore of an ocean .,,,,,,,,,| A boy in his blue swim shorts at the beach .,,,,,,,,,| A boy smiles for the camera at a beach .,,,,,,,,,| Children playing on the beach .,,,,,,,,,
.\datasets\images\1065323785.jpg| Kids riding on their bicycles near a mound of dirt with a hovel from a backhoe in front of the mound .,,,,,,,,,| A boy wearing a red shirt is riding his bike right next to a mound of dirt .,,,,,,,,,| A group of boys are riding their bikes around a big pile of dirt .,,,,,,,,,| Kids are riding bikes near a dirt mound in the street .,,,,,,,,,| The kids are riding bikes in the pile of dirt .,,,,,,,,,
.\datasets\images\1076460267.jpg| A couple is sitting in a blue raft watching a lot of people in bathing suits on a boat .,,,,,,,,,| A group of people in swimsuits enjoy themselves on a cruise ship .,,,,,,,,,| Many people in bathing suits on a boat and on inflatable rafts .,,,,,,,,,| A large gathering of people partying on boats .,,,,,,,,,| Dozens of people are partying on a boat .,,,,,,,,,
.\datasets\images\1076503761.jpg| A girl with blond-hair is holding a bottle and wearing a blue and green floral bikini on a boat .,,,,,,,,,| A young woman in a bikini holding a bottle is goofing around and kicking a man in a straw hat .,,,,,,,,,| A young woman on a boat in a light colored bikini kicks a man wearing a straw cowboy hat .,,,,,,,,,| Teenagers are partying on a boat while a blond teenager is kicking a man .,,,,,,,,,| A group of students during spring brake .,,,,,,,,,
.\datasets\images\1081595465.jpg| A group of construction workers dressed in orange safety vest sit on the ground assembling a railroad track .,,,,,,,,,| Several workers in orange vests are repairing tram rails , as onlookers stand by .,,,,,,,,| Workers wearing reflective vests working near a train car .,,,,,,,,,| Rail workers working on train tracks in the city .,,,,,,,,,| There are laborers working on a train track .,,,,,,,,,
.\datasets\images\1082110795.jpg| Two gentlemen in baseball caps and shirts , work on the engine of an old , rusted VW beetle .,,,,,,,| An older guy looking at a classic , rustic , volkswagen beetle .,,,,,,,| Two men working on a yellow Volkswagen beetle .,,,,,,,,,| Two men looking at a beat up old car .,,,,,,,,,| Two men are working on an old car .,,,,,,,,,
.\datasets\images\1084104085.jpg| a woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness .,,,,,,,,,| A woman in blue shorts and a white shirt is indoor rock climbing .,,,,,,,,,| The girl is in a harness , climbing rocks .,,,,,,,,| Woman climbing an artificial rock wall .,,,,,,,,,| The girl is climbing a rock wall .,,,,,,,,,
.\datasets\images\1084527029.jpg| Looks like everyone is getting good gas mileage here with all these beautiful scooters !,,,,,,,,,| Dozens of motor scooters are arranged here in an orderly fashion .,,,,,,,,,| Many scooters are parked together on the sidewalk .,,,,,,,,,| Several Japanese motorcycles are lined up .,,,,,,,,,| A lot of motorcycles lined up in Asia .,,,,,,,,,
.\datasets\images\108503753.jpg| The regional park police helicopter is preparing to land .,,,,,,,,,| A white and green helicopter takes off from the airfield .,,,,,,,,,| A helicopter on a clear day taking off .,,,,,,,,,| A helicopter is taking off for flight .,,,,,,,,,| Helicopter taking off from airport .,,,,,,,,,
.\datasets\images\1088767354.jpg| The girl in the salmon colored bikini is standing next to two young people ; one is wearing a black outfit and the other is drinking pop .,,,,,,,,,| Two young people are approached by a flamboyant young woman dressed in a red bikini and a red feathered headress .,,,,,,,,,| A woman wearing a red costume looks at two other people standing on a street .,,,,,,,,,| A young woman in a red sequined costume and feather stands on the sidewalk .,,,,,,,,,| A woman in a red costume to the left of a man and woman standing together .,,,,,,,,,
.\datasets\images\108899015.jpg| A lone skier is making their way up a mountain .,,,,,,,,,| Skiiers at the top of a snow covered hill .,,,,,,,,,| Two people are on a snow-covered mountain .,,,,,,,,,| Two people climbing up a snowy mountain .,,,,,,,,,| Two hikers climbing a snowy hill .,,,,,,,,,
.\datasets\images\108957912.jpg| People walk across a street as utility workers fix a light .,,,,,,,,,| Many people are crossing a street in a large city .,,,,,,,,,| People are crossing a city street intersection .,,,,,,,,,| Pedestrians cross the street at a red light .,,,,,,,,,| People crossing a city street .,,,,,,,,,
.\datasets\images\108970557.jpg| Woman sitting in a red chair with a dressy purple dress on and a book sitting on the arm rest .,,,,,,,,,| A woman dressed in light purple and wearing a corsage clasps her hands in her lap .,,,,,,,,,| A woman in lavender with short brown hair is sitting in a large chair .,,,,,,,,,| The women is wearing formal clothing while sitting .,,,,,,,,,| A short-haired woman is sitting down .,,,,,,,,,
.\datasets\images\109083036.jpg| Six males playing a game in the sand with wooden paddles .,,,,,,,,,| Group of young men playing cricket in a dirt field .,,,,,,,,,| Six west Asian youth play cricket on a dirt pitch .,,,,,,,,,| A crowd of boys play cricket in an open sand lot .,,,,,,,,,| children playing cricket in a dry desert area,,,,,,,,,
.\datasets\images\109260216.jpg| A person climbs a tall , flat mountain while holding onto a safety rope .,,,,,,,,| A person is climbing a rock while holding onto a white rope .,,,,,,,,,| A person climbing down a sheer rock cliff using a rope,,,,,,,,,| A person wearing a red vest climbs up a steep rock .,,,,,,,,,| A person rappels down a steep incline .,,,,,,,,,
.\datasets\images\1093716555.jpg| A group of hikers are resting on the ground in front of some mountains .,,,,,,,,,| Several hikers rest with their gear in front of a mountain .,,,,,,,,,| The group of hikers is resting in front of a mountain .,,,,,,,,,| People camp with the mountains in the background .,,,,,,,,,| a group of backpackers lay on the dry ground .,,,,,,,,,
.\datasets\images\1093737381.jpg| A woman wearing a blue dress is drawing a picture of a boy and a girl on the sidewalk with sidewalk chalk .,,,,,,,,,| A woman in a blue dress stands with a chalk portrait of two children playing by a stream .,,,,,,,,,| A woman stands next to a chalk drawing in front of a barn-like structure .,,,,,,,,,| A woman stands outside near an elaborate chalk illustration .,,,,,,,,,| A woman standing in front of a chalk drawing,,,,,,,,,
.\datasets\images\1094606832.jpg| A young black person wearing a green shirt and a jacket using a sewing machine .,,,,,,,,,| A woman wearing a brown headscarf works at a sewing machine .,,,,,,,,,| Woman meticulously working with a sewing machine .,,,,,,,,,| A black woman using a sowing machine .,,,,,,,,,| Woman with a brown headscarf sewing .,,,,,,,,,
.\datasets\images\10951809.jpg| An elderly woman with a cane sits in a large wooden chair next to a weaving loom , in a log cabin .,,,,,,,,| The elderly woman is enjoying an afternoon on the porch with family .,,,,,,,,,| An elderly women is sitting in a chair with a cane in her hand .,,,,,,,,,| An old women with a cane sitting in her rocking chair .,,,,,,,,,| An elderly woman with a can is sitting down .,,,,,,,,,
.\datasets\images\1095980313.jpg| A little girl in a blue swimsuit is walking along a wooden fence next to a sandy beach .,,,,,,,,,| Little girl in blue swimsuit standing on a handrail near a beach .,,,,,,,,,| The little girl in the blue bathing suit is posing at the beach .,,,,,,,,,| A little girl with arms outstretched is posing at the beach .,,,,,,,,,| A young girl walks on a railing in front of the beach .,,,,,,,,,
.\datasets\images\1097463464.jpg| A young boy wearing a black shirt , brown pants and a black watch has his hand on a white folded chair which is on the top of a large stack of similar folding chairs .,,,,,,,,| A young man wearing a black shirt takes a folding chair from a large stack .,,,,,,,,,| A person helping to set up chairs for a big event .,,,,,,,,,| A young man in a black shirt stacks chairs .,,,,,,,,,| A boy is setting up folding chairs .,,,,,,,,,
.\datasets\images\110600869.jpg| A little girl in a blue jeans vest is running across the grass and laughing .,,,,,,,,,| A little girl with a blue jean jacket smiling while running in a field .,,,,,,,,,| A little girl with a jean jacket on is running and laughing .,,,,,,,,,| A little girl in a denim jacket running through a field .,,,,,,,,,| A little girl is running on the grass and smiling .,,,,,,,,,
.\datasets\images\110671345.jpg| A woman is surprised to have her picture taken on this fall day outside Spaulding 's women 's store .,,,,,,,,,| A young woman in jeans and a gray sweater walks on the sidewalk in a shopping district .,,,,,,,,,| A woman posing for a picture while shopping .,,,,,,,,,| Woman in front of clothing store .,,,,,,,,,| The lady has a black sling bag .,,,,,,,,,
.\datasets\images\110671448.jpg| A woman standing with 3 other people in a store with two tables , some shelves with coffee and tea for sale , and a refrigerated drink case .,,,,,,,| A woman in a gray sweater and black baseball cap is standing in line at a shop .,,,,,,,,,| A woman in a hat waits to be served at a store .,,,,,,,,,| Young people are standing in the store .,,,,,,,,,| A woman in a cap at a coffee shop .,,,,,,,,,
.\datasets\images\1107507919.jpg| There is a woman and man wearing orange shirts , playing instruments with sheet paper in front of them .,,,,,,,,| A cello player is playing during a concert .,,,,,,,,,| A woman in a red shirt playing the cello .,,,,,,,,,| A female playing a song on her violin .,,,,,,,,,| A woman in a red shirt plays a cello .,,,,,,,,,
.\datasets\images\110964272.jpg| A small child and an adult walk on the beach in front of ocean waves .,,,,,,,,,| An adult and a child walk along the beach during the day .,,,,,,,,,| An adult and child walking along the beach on the sand .,,,,,,,,,| A woman and a child are walking on a beach .,,,,,,,,,| A man and a child walking down a beach .,,,,,,,,,
.\datasets\images\111201721.jpg| A young boy in a yellow shirt is jumping in a grassy area with a younger boy , in a white shirt , standing behind him .,,,,,,,| A young boy in a white shirt is following his brother outside .,,,,,,,,,| Two young children are walking through a wooded area .,,,,,,,,,| Two children running with no shoes on .,,,,,,,,,| Two young children playing outside .,,,,,,,,,
.\datasets\images\1113186657.jpg| A blond child is wearing blue goggles and a green Speedo tank top while swimming underwater .,,,,,,,,,| A girl in a green Speedo top and blue goggles holds her breath underwater .,,,,,,,,,| a boy underwater with someone helping him to swim,,,,,,,,,| A child swimming underneath the water .,,,,,,,,,| A child is swimming with goggles on .,,,,,,,,,
.\datasets\images\111413806.jpg| A man and two women are playing a board game at a wooden table while drinking alcohol .,,,,,,,,,| Three people around a table playing a board game and drinking beer .,,,,,,,,,| Two ladies and a man playing a card game and drinking beer .,,,,,,,,,| Three people are sitting around a table playing a game .,,,,,,,,,| A group of people playing a board game .,,,,,,,,,
.\datasets\images\111419142.jpg| Several young people are standing around drinking beverages at some kind of outdoors gathering with food .,,,,,,,,,| There are many people wearing either jackets or layers drinking beer or diet Coke .,,,,,,,,,| A group of people wearing warm clothes are having a party outside .,,,,,,,,,| People enjoy a gathering with Pabst Blue Ribbon and Diet Coke .,,,,,,,,,| A gathering of people drinking beer and talking,,,,,,,,,
.\datasets\images\111811048.jpg| A man is crossing the street and in the distance you can see a building under construction .,,,,,,,,,| This is a man standing on a rooftop with construction in the background .,,,,,,,,,| A man is standing on top of a tall building that overlooks the city .,,,,,,,,,| A man walks across the field of view in front of a cityscape .,,,,,,,,,| A man with a hat walks along train tracks .,,,,,,,,,
.\datasets\images\1118752484.jpg| Multiple people walking on the pavement with a fence in the background all under the sky with clouds .,,,,,,,,,| A woman in Muslim attire is walking with a young boy down the street .,,,,,,,,,| Several people walking across a bridge in both directions .,,,,,,,,,| People are walking in front of a fenced area .,,,,,,,,,| Woman in a red sari walks down the street .,,,,,,,,,
.\datasets\images\1119015538.jpg| A little tan dog with large ears running through the grass .,,,,,,,,,| this is a small beige dog running through a grassy field,,,,,,,,,| A small dogs ears stick up as it runs in the grass .,,,,,,,,,| A playful dog is running through the grass .,,,,,,,,,| The small dog is running across the lawn .,,,,,,,,,
.\datasets\images\11205420.jpg| A man dressed in white walks a yellow rope on the ground that is attached to the handlebars of a bicycle .,,,,,,,,,| A man wearing all white is walking on a rope attached to a bike while surrounded by people .,,,,,,,,,| A bike sitting in a street with a rope tied to it and a guy walking on the rope .,,,,,,,,,| A street performer is performing with a bike in the foreground .,,,,,,,,,| A man is doing a trick with a bike .,,,,,,,,,
.\datasets\images\11214370.jpg| A man in jeans and a yellow safety jacket is working on bricks in the ground .,,,,,,,,,| A man with a safety vest is kneeling down and cleaning the bricks .,,,,,,,,,| A man in a yellow vest and jeans is caulking a sidewalk .,,,,,,,,,| A man with a router working on the sidewalk .,,,,,,,,,| A man grinding stones with a tool .,,,,,,,,,
.\datasets\images\112264837.jpg| A man in a suit reading a from a piece of paper in front of a nude sculpture .,,,,,,,,,| The man in the suit is standing near the naked sculpture .,,,,,,,,,| A man wearing a red tie standing in front of a statue .,,,,,,,,,| A man standing beside the back of a nude statue .,,,,,,,,,| A man is looking at a piece of paper .,,,,,,,,,
